Epoch,TrainLoss,TestLoss,Rank,LR
38,5.5316,5.5547,41,0.000020
39,5.5315,5.5541,24,0.000020
40,5.5312,5.5563,73,0.000020
41,5.5311,5.5558,72,0.000020
42,5.5304,5.5564,84,0.000020
43,5.5298,5.5547,60,0.000020
44,5.5290,5.5550,60,0.000020
45,5.5285,5.5549,59,0.000020
46,5.5273,5.5564,89,0.000020
47,5.5262,5.5563,95,0.000020
48,5.5245,5.5564,87,0.000020
49,5.5219,5.5567,104,0.000020
50,5.5175,5.5563,100,0.000020
