Traces,Rank,Loss
1000,11,5.594668626785278
2000,18,5.601874375343323
3000,85,5.610891660054524
4000,55,5.609906244277954
5000,58,5.609513816833496
6000,114,5.613086565335592
7000,114,5.613251822335379
8000,74,5.611513841152191
9000,116,5.612985430823432
10000,148,5.613102703094483
